Skill name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Bookbinding,bookbinding,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c185c80d051b4902fef7ef,false,false,Tue Dec 21 2021 07:44:08 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:44:08 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Brand identity,brand-identity,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f49988c8fa1ac3fc4d20,false,false,Mon Dec 20 2021 21:24:41 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:24:41 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
C#,c,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c189c95665cd5a8b8976b9,false,false,Tue Dec 21 2021 08:01:13 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:01:13 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Clay sculpting,clay-sculpting,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c1869fcfa7d7f90328909f,false,false,Tue Dec 21 2021 07:47:43 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:47:43 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Client communication,client-communication,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f5fea072cb7a9bc9e24c,false,false,Mon Dec 20 2021 21:30:38 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:30:38 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Co-design,co-design,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0e172850381793bfbc863,false,false,Mon Dec 20 2021 20:02:58 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 20:02:58 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Concepting,concepting,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,6122034c4030083deb4e0e02,false,false,Sun Aug 22 2021 07:57:00 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 07:57:00 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Corporate identity,corporate-identity,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f48ca88487161e38cf58,false,false,Mon Dec 20 2021 21:24:28 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:24:28 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Critical thinking,critical-thinking,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,612203424f58540e540e4858,false,false,Sun Aug 22 2021 07:56:50 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 07:56:50 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Design iteration,design-iteration,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f5f5518a3a150263b023,false,false,Mon Dec 20 2021 21:30:29 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:30:29 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
DialogFlow,dialogflow,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c99e2734e5b517e72d2105,false,false,Mon Dec 27 2021 11:06:15 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:06:15 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:10:08 GMT+0000 (Coordinated Universal Time)
Digital drawing,digital-drawing,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0f552a8c547e666379201,false,false,Mon Dec 20 2021 21:27:46 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 21:27:46 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
